Московское высшее пограничное командное училище КГБ СССР им. Моссовета	1
Адыгейский государственный университет	2
Кировский сельскохозяйственный институт	1
Московский авиационный институт им. Серго Орджоникидзе	6
Московское высшее техническое училище им.Н.Э. Баумана	3
Свердловский юридический институт им. Р.А. Руденко	1
Казанский химико-технологический институт им.С.М. Кирова	2
Петрозаводский государственный университет им. О.В. Куусинена	1
Удмуртский государственный университет им. 50-летия СССР	2
Куйбышевский плановый институт	1
Свердловское высшее военно-политическое танко-артиллерийское училище	1
Российская государственная академия физической культуры	1
Ленинградский институт советской торговли им. Ф. Энгельса	1
Чебоксарский энергетический техникум	1
Государственный университет - Высшая школа экономики	2
Московский энергетический институт (технический университет)	1
Новосибирский сельскохозяйственный институт	2
Рижское летно-техническое училище гражданской авиации	1
Ростовский институт сельскохозяйственного машиностроения	1
Читинский политехнический институт	1
Дальневосточный институт советской торговли	1
Санкт-Петербургский государственный университет	4
Ленинск-Кузнецкий горнотехнический колледж	1
Аспирантура Пензенского государственного педагогического университета им. В.Г.Белинского	1
Омское высшее общевойсковое командное училище им. М.В. Фрунзе	3
Уральская академия государственной службы	3
Аспирантура Свердловского юридического института	1
Омский институт инженеров железнодорожного транспорта	1
Ленинградский государственный институт театра, музыки и кинематографии	1
Ангарский политехникум Миннефтехимпрома СССР	1
Российская академия управления	2
Ленинградское высшее военное инженерное строительное Краснознаменное училище им. генерала армии А.Н. Ко	1
Академия ФСБ России	1
Институт повышения квалификации Академии народного хозяйства при Совете Министров СССР	1
Новосибирский электротехнический институт связи	1
Магнитогорский государственный технический университет им. Г.И. Носова	1
Киевское высшее военно-морское политическое училище	3
Ташкентское высшее общевойсковое командное училище им. В.И. Ленина	1
Троицкий ветеринарный институт	1
Университет Российской академии образования	2
Казанский государственный технический университет им. А.Н. Туполева	1
Кубанский государственный аграрный университет	1
Алтайский сельскохозяйственный институт	1
Санкт-Петербургский государственный университет аэрокосмического приборостроения	2
Московская государственная юридическая академия	2
Ленинградский топографический техникум	1
Санкт-Петербургский университет МВД России	7
Пермский политехнический институт	1
Московский инженерно-строительный институт им. В.В. Куйбышева	2
Дагестанский политехнический институт	1
Марийский государственный технический университет	2
Московский государственный открытый университет	2
Рижское высшее военное авиационное инженерное училище им. Я. Алксниса	1
